start	end	text
142640	143980	han var ikke noe særlig velkommen
145280	145980	og da
145980	147240	det var da han fikk
147240	148400	the so called
148400	149500	nervous breakdown
151520	152120	og
153240	154340	så jeg ble jo
154340	155580	kyssa tilbake til senga
155580	156900	om Venkel husker dette
156900	157820	det vet jeg ikke
157820	159460	men jeg husker det
159460	160780	men da snakket han med
160780	161380	bestemoren da
161380	161480	eller?
162060	162260	ja
162260	162680	ja
163860	164860	og så
165760	167380	ble det forberedt
167380	167620	da
167620	169000	en hjemreise
169000	170280	hvor hun da pakket
170280	171960	husker du kom svære
171960	172620	til sånne
172620	173840	det heter crates
173840	174560	på engelsk
174560	175380	jeg vet ikke hva det er
175380	175860	på norsk
175860	176500	men svære
177240	177840	flyttekasser
177840	178520	i tre
179400	181180	som hun pakket ned
182240	183240	diverse ting
183240	183900	blant annet
183900	184920	den der lille stolen
184920	185480	der borte
186580	187680	som vi har
187680	188580	ja
188580	190200	og dette var i 62
190200	190640	ja
190640	192740	og det var da
193720	194420	høsten
194420	195680	mot jul
195680	196440	eller mot jul
196440	197880	og da
199460	200900	og så skulle vi ta
200900	202080	den båten
202080	202960	båtreisen
203800	204500	fra
204500	205620	Mombasa
205620	206680	ned til
206680	207380	Cape Town
207380	209060	fra Cape Town
209060	210720	ut i
210720	211640	blir det
211640	212180	Atlantern
212180	213620	ja
213620	215860	og jeg vet i hvertfall at
215860	217640	den siste stoppestedet
217640	217900	var
217900	218740	Kanariene
218740	219240	før vi
219240	220620	skulle til
220620	221360	Southampton
222140	222880	men
222880	224060	og dette skulle liksom
224060	224800	bli en slags
224800	225700	rekreasjon
225700	226780	for Jakob
227420	228040	var det
228040	228360	var det
228360	228580	båten
228580	228980	ja
228980	229760	båtturen
229760	230560	at han skulle
230560	231200	komme seg
231200	232640	det ble det ikke
233320	233800	nei
233800	233820	det var
233820	234140	nått
234140	234340	å være
234340	235100	nei
235580	236740	det er jo det
236740	237140	det står
237980	238460	men
238460	239020	men jeg
239980	241260	det jeg husker
241260	242360	var jo at vi
242360	243120	vi
243120	244360	for oss så var jo dette
244360	245140	spennende
245140	245580	og vi
246280	247340	fortalte at vi skulle
247340	247780	til
248260	248740	Norge
250400	251240	og vi
251240	252160	slutta på den der
252160	252620	kindergarten
252620	253600	jeg tror ikke noen av oss
253600	254300	var lei for det
255860	257200	den eneste gangen
257200	258040	jeg har sett min mor
258040	258840	veldig leise
259680	261180	at hun satt i bilen
261180	262660	og tårnet rand på opp
262660	263660	det var at hun skulle
263660	264440	reise derfra
264440	265400	og si
266360	267580	farvel til det livet
272520	273260	så det
273260	274300	vi gjorde
274300	275020	det var jo
275020	275460	å
276420	277400	ta toget
277400	278580	det husker jeg
278580	279020	fra
279020	280040	Nairobi
280040	280960	ned til Mombasa
280960	282120	det tok hele natten
284200	285560	for det var spennende
285560	287420	og så gikk vi
287420	288420	ombord i denne
288420	288480	her
289600	290240	båten
290240	291280	det var
291280	292520	The Castle Line
292520	293640	det hette
293640	294760	Redderiet
294760	296040	og den
296040	297080	første båten
297080	297340	vi var på
297340	297560	hette
298220	298860	Kiniakasle
298860	300420	har det noen
300420	300760	bilder
300760	301220	eller film
301220	302260	det har hun film
303020	304420	og der var vi
304420	305640	innom flere
305640	306740	steder
306740	307760	langs
307760	308720	fra
308720	309520	østkysten
309520	310380	og ned til syd
310380	311760	blant annet var vi
311760	312000	innom
312000	312760	Sansibar
316040	317260	og det jeg husker
317260	318040	var jo at
318660	319620	vi måtte
319620	320340	bli ombord
320340	321200	for han var så
321200	321660	dårlig
321660	322780	og vi kunne ikke
322780	323340	gå i land
323340	324200	på de der
324900	325380	arrangerte
325380	326000	turene
326500	327420	det synes vi
327420	328020	var dumt
328020	328240	ja
329500	330420	men jeg husker
330420	330640	om
331320	331960	at vi
331960	332620	det tok bare
332620	333480	det tok en uke
333480	334680	det som var
335320	336060	vi gjorde
336060	336900	når vi kom til
339580	340340	Durban
341420	342660	og vi var innom
342660	343620	Portelisabeth
343620	345360	dette sydafrikanske
345360	345740	mener
345740	345960	ja
346720	347980	men der
347980	349240	møtte vi
349240	349820	altså
349820	351280	Alexandra
351280	351940	Venker
351940	353140	Frevensen
353140	354440	lillesøster
354440	355440	ja
355440	357160	og han
357160	358060	mannen
358060	358500	ja
359660	360900	og der var vi
360900	361460	sammen med dem
361460	361860	en dag
361860	362400	ja
362400	363540	da hadde ikke
363540	364020	hørt min far
364020	364820	sett ho på
364820	366180	I don't know
366180	366720	om man is
368540	369840	og så var det
369840	370960	kusinen av Venke
370960	371580	som også het
371580	372820	Alexandra Venke
374520	375340	som var
375340	376440	12 år
376440	377040	eller noe
377040	377580	tror jeg
377580	378340	og jeg var da
378880	379400	8
380120	381400	det husker jeg godt
381980	382800	at vi
382800	383500	traff de
383500	384480	og vi var en slags
384480	385400	park med de
385400	386140	og spiste
386140	387320	men det var
387320	388040	best å være med da
388040	388400	ja
388400	389480	ja da
389480	390760	da var han såpass
391900	392420	så
392420	392660	så
394140	394580	han
394580	395740	de bodde vel i
397440	398500	de bodde ikke der
398500	399980	jeg husker ikke navnet på det stedet
399980	400940	det er en ganske kjent by
401800	402720	sydafrikans by da
402720	403880	men det har jeg glemt navnet på
404340	405420	han var jo da
405420	406860	engelsk man tror det
407540	409200	og agent for Sveppes
409200	410940	jeg tror han var litt forfyllet
411520	411960	Ken
411960	412720	vet han
415100	416380	så det var jo
416380	417180	hodet
418980	420260	og så var det videre
420260	421580	ned til Cape Town
421580	422900	hvor vi skulle bytte båt
423920	425760	og da var vi land i Cape Town
425760	427540	og jeg husker nå
427540	428200	jeg kan huske
428200	428600	se for meg
428600	429460	Table Mountain
429460	430100	ja
430720	432140	og vi var i en park
432140	433220	og gikk rundt der
433220	434280	og der var det noen
434280	435020	ekorn
435020	436180	og fugler
436180	437000	vi matet
437000	438320	og da var vi
438320	439900	da tror jeg det var bare med ho
441140	442160	så var det ombord
442160	443020	i den nye båten
443020	443400	som het
443400	444640	Pretoria Castle
444640	445200	ja
445200	447580	om den tok to eller tre uker
447580	449060	den turen det vet jeg ikke
449060	450100	men det var en lang tur
450100	451220	til sjøss
451220	453300	og da var Jakob veldig dårlig
453300	453620	ja
454420	455500	ja du mener turen til
455500	456660	sa 15
456660	456980	ja
456980	458260	og så fra Cape Town
458260	458540	ja
459600	460820	men ombord
460820	463100	så vi var ikke på first class
463100	464700	vi var second class
466380	468360	men vi fikk lov
468360	470240	og vi badet på en basseng
470240	472580	som var på båten
472580	473300	oppe på dekk
474180	475460	og det som var kult der
475460	476400	når jeg svømte der
476400	479000	så laget han bølger
479000	480460	fordi det var bølger i havet
480460	481660	det var gøy å svømme i
481660	482820	det tror jeg også er på film
483900	485180	Benke kunne ikke svømme da
485180	486280	så hun hadde bare badring
487480	488700	og så var vi
488700	489240	nei
489240	491240	de hadde badbasseng på first class
491240	492080	i kjellet
492080	493660	under dekk der
493660	494860	som vi var i
495880	496960	og så husker jeg
496960	498060	jeg var veldig stasut
498540	499940	at vi skulle spise
499940	501160	ved The Captain's Table
501160	503340	da var hun veldig giret av Rosemary
503340	503720	ok
503720	504340	ja
504340	506620	det var vist veldig stasut
507900	509820	og så ble det jo laget
509820	511620	leker for barn ombord
511620	512100	ikke sant
512100	512540	og
513560	515760	men hvem var det som var
515760	516660	av andre folk
516660	517680	var det som var på den båten
517680	518380	var det andre
518380	519120	Cleve Niels
519120	519380	eller
519380	520480	som skulle hjem liksom
520480	521060	sikkert
521060	522100	helt sikkert
523220	524820	jeg kan ikke huske noe
524820	526140	særlig omkvem
526140	526920	med noen andre
526920	527880	sikkert
527880	528940	vi hadde sikkert det
530200	531720	men det var veldig preget
531720	532820	av at han lå mye på
532820	533680	laget lukaren
533680	535780	og vi måtte være stille
535780	537160	og var deprimert
537160	537440	ja
537440	539320	men han var veldig deprimert
539320	539580	ja
540180	541840	jeg har forstått i etterkant
541840	543300	at han var såpass deprimert
543300	544640	at legerne ombord
544640	546020	hadde en av de ansatte
546020	546620	til å passe på
546620	547500	han trodde han var
547500	547980	sussidat
547980	548580	sussidat
549760	551500	så da tror jeg det
551500	554420	det var det ganske alvorlige
555620	556300	så
557920	559220	så kom vi til
559220	559980	Sa 15
559980	561040	og ble møtt av
561040	562720	vår bestemor
562720	563940	som vi aldri hadde sett
563940	564640	vår skottske
564640	565060	ja
565060	566380	og Reggie
567260	568360	veldig snille
568360	569260	søte folk
570360	571760	og jeg tror det kom
571760	572900	ganske fort fram
572900	574500	om han må jo oppsøke
574500	575060	en lege
575060	576860	at han var veldig dårlig
576860	578340	og han fikk kontakt med
578340	579300	Minni
579300	580620	sin søster
580620	581800	i Oslo
582840	583460	og
583460	584780	det ble jo
584780	585580	bestemt
585580	586800	at han skulle reise over
586800	587460	i forkant
587460	587780	ja
589680	591140	for å bli behandlet
591140	591560	ja
592560	593180	og
594300	595560	det var også det
595560	596020	at han
596020	596580	Per Adler
596580	596960	hadde også
596960	597840	nerveproblemer
597840	598120	ja
598120	599600	han hadde
599600	600540	han ble jo
600540	601660	så han hadde jo vært
601660	603340	innlagt på vinneren
603340	603740	selv
603740	604060	ja
604060	605220	så han hadde
605220	606100	forbindelser
606100	606320	ja
606320	607100	det var jo greit da
607100	607440	ja
608320	608880	så
608880	609840	da
609840	610860	ble han
610860	612320	sendt på et fly over
612320	613880	og ble tatt imot av de
613880	614660	og lagt inn
614660	615440	rett inn der
618440	619920	og hun måtte bli igjen
619920	620280	i England
620280	621980	og vi var da
621980	623700	vi bodde sammen
623700	624360	med
624360	625440	bestemor
625440	626140	og Reggie
626140	626980	på en slags
626980	627700	pensjonat
629860	630420	lenge
631240	632640	og det var i Bomet
633400	634420	så var vi
634420	634880	hos
634880	635820	Ørsela
636980	638200	som er kusina
638200	638500	til
638500	639560	til Rose
639560	641120	hun har vært
641120	642200	litt besøkt
642200	643260	hun var en gang
643260	644180	i Norge
644180	644440	ja
644440	645180	når bestfar
645180	645540	var 70
645540	646240	hun har hørt så mye
646240	647180	om Ørsela
647180	647620	ja
647620	648740	ja
648740	649440	og den var Ørsela
649440	650240	igjen til bestemor
650240	651280	kusine
651280	651900	kusine
651900	652220	ja
652220	653480	og der
653480	654220	var vi
654220	655500	bodde vi der
655500	656600	i den liten village
656600	656880	som het
656880	657480	Great Chisel
657480	658400	på utsida
658400	659080	Cambridge
660420	661700	der var vi
661700	662400	i hvert fall
662400	663080	noen uker
663080	663780	og vi ble
664420	665400	det en liten cottage
666760	668180	så må det jo
668180	669620	blitt sånn
669620	670580	blei vel sånn
670580	671440	at han må ha blitt
671440	672080	litt bedre
672080	672420	ja
674240	675540	det var lang tid da
675540	676580	han fikk jo
676580	677400	sjokkbehandling
677400	677700	da
677700	678120	ja
679940	681000	og så
681000	681780	ble det
681780	682920	sånn at vi
682920	684760	skulle over til
685920	686500	Norge
686500	688120	og så skulle vi bo
688120	689400	på Jevnaker
689400	690200	hos
690200	690720	Dan
690720	691720	og Vesla
691720	692080	Koro
692080	694740	de hadde flyttet hjem
694740	695540	i
695540	696580	før oss
697560	698940	flere måneder før
698940	700320	kjøpte en gård
700320	702840	på like enden av landsfjorden
702840	703180	som heter
703180	704180	Stangård
706340	707140	Kveg
707940	709500	det var mitt første
709500	711100	vårt første møte med Norge
711100	712260	på land
712260	713120	bondlandet der
713120	715360	og på den svære
715360	716080	flotte gården
717380	717920	så da
717920	718860	vært i England
718860	719320	ja
719320	719960	så da var det jo
719960	720300	på en måte
720300	721340	dere var jo
721340	722640	oppvokst i
723400	723800	Afrika
723800	724160	og så
724160	724760	klima
724760	725220	veldig
725720	726520	men da var det jo
726520	727300	litt vant til det
727300	728360	i England
728360	728740	ja
728740	729540	det var jo bare
729980	730380	regn
730380	730720	ja
730720	731600	ikke sant
732300	733920	og dette var på høsten
733920	734620	altså
734620	735360	da du kom til Norge
735360	736020	august
736020	737140	kom vi til Norge
737140	737500	til Norge
737500	737780	ja
737780	739020	og vi var vel der til
739020	740840	godt og vel inn i september
740840	741360	hvis ikke
741360	741920	ok
741920	742960	hos koren
742960	743620	ja
743620	745080	og der
745080	746240	der var
747020	747640	jeg
747640	749340	likte meg godt der
749340	750160	med alle dyra
750160	750580	og
750580	752140	var inne i fjøs
752140	752540	og
753340	753680	og
753680	754920	vi var
754920	755440	det var
755440	756760	det fint med de koren
756760	757500	ja
757500	757720	ja
757720	757840	ja
757840	759260	og vi
759260	761100	det var min første opplevelse
761100	762100	med å plukke sopp
762100	764400	det var første gang vi plukket steinsopp
766340	767220	og så
768100	769920	så begynte han å komme seg
769920	771040	husker jeg
771040	771800	hun var inne
771800	773620	i Oslo besøkte han
774500	776660	og etter hvert kom seg såpass
776660	777860	at vi kunne da
777860	779480	flytte til Gjerstad
780820	781800	og det var
781800	782720	sen høsten
782720	783540	men liksom det bare
783540	785800	jeg ikke helt skjønner det
785800	786640	liksom hvorfor
786640	788840	hvis det var så forferdelig
789660	790240	hvorfor
790240	792060	bodde dere ikke i Oslo
792060	792540	eller
793180	795240	jeg tror ikke de hadde så mye penger
795240	795640	nei
797080	797980	rett og slett
797980	799620	ja for det var ikke så mye penger
800240	802440	han fikk jo ikke mye med seg fra Kenya
802440	804720	han hadde jo ikke noe som han skulle selge
804720	806460	og ikke fra fritt selger
806460	806920	nei
806920	807880	det var ikke så mye
807880	808260	nei
808260	808940	jeg skjønner
808940	809760	så han måtte bare
811180	812240	finnes det noe å gjøre
812240	812980	ja
813940	815820	først så måtte han jo komme seg mentalt
815820	816280	ikke sant
816280	817120	og da meningen var
817120	818020	han skulle overta det
818020	818520	vi går
820180	821140	og de kom
821140	822340	og når de kom dit
822340	824380	så ble det litt av en sjokk opplevelse
824380	826380	for Rosemarie
827260	828540	med den overgangen
828540	829980	den klimaovergangen
830700	833960	vi måtte plutselig ha på oss en haug med klær
833960	835160	som ikke vi var vant med
835160	835740	måtte ha
835740	838140	det med å give på seg
838140	840080	sånne strømpebukser og bukser
840080	841500	og det var en første bill
841500	842180	og gjøre det av kjøl
842180	842440	ja
843660	847000	og så viste det seg at den gården var helt nedkjørt
847000	848840	han hadde hogget ut alt
850360	852440	men da var jo han nærmere åtti
852440	852800	ja
854640	855740	så det var jo
855740	857020	det var en stor
857800	858440	skuffelse
858440	859480	og sjokk for
859480	860760	Jakob
861840	862740	så da
862740	863940	etter den vinteren
863940	864300	så
864300	867080	hadde han jo selvfølgelig kontakter i riser
868020	871760	og da ble det bestemt at du skulle bo i riser
871760	872960	og flytte til riser
872960	874820	og da kom vi der
874820	876940	og gjorde de med gården
876940	878340	de ble boende
878340	878920	ja
878920	880520	og så
880520	882420	da er vi kommet til
882420	884060	64
884060	885200	altså
885200	886940	vi var
886940	889800	den vinteren 63-64
889800	890720	i Gjerstad
890720	893020	helt fram til skoleslutt
893020	894720	det var naturlig
894720	896540	og så ble vi
896540	898800	flyttet til riser
898800	900120	og bodde i
900120	902700	en leilighet i solsiden 8
902700	904560	som vi leide av
905340	905860	Lønningdal
905860	906760	den gangen
908180	910140	og da begynte jeg i 4. klasse
911640	913560	å venke i 2.
914060	915160	i Gjerstad
915160	916440	så gikk jeg i 3.
917240	918800	egentlig skulle jeg ha gått
918800	919580	kanskje i 2.
920120	921660	men han rektor
921660	923860	der gangen på Sommebro skole
923860	926520	når han hørte at jeg både kunne gange
926520	927240	og plusse og dele
927240	927960	og Gud vet hva
927960	928720	så hadde jeg ikke noe
928720	930120	da måtte jeg inn i den klassen
930120	930740	hvor det var
930740	932540	og da var det en lærerinne
932540	933700	en lærerinne der
933700	934840	som kunne engelsk
934840	937140	og det var også en grunn til det
937140	938100	jeg tror jeg heter Ragnhild
938100	939140	så hun
939140	940480	hun snakket med meg
940480	941980	for det var der
941980	943520	vi begynte å lære norsk
943520	945340	og det var jo da vi kom til riser
945340	946680	og snakket Gjerstad engelsk
948140	949660	og det er jo
949660	951340	det kan du jo snakke med andre om
951340	952120	som husker det
952120	953600	du kan spørre
953600	954520	mor til
954520	955700	Lars Gunnar
957180	958760	det er det snakket med dialekt
958760	959320	ja
959320	961680	om ikke hun husker hvordan vi pratet
961680	963420	for jeg gikk jo i klass med hun
963420	964660	det lærte ganske fort
964660	965460	språk
965460	965860	ja
965860	966300	veldig fort
966840	967560	typisk barn
968320	969280	det gjorde vi
969280	970420	selv om det var
971180	971660	litt
972880	973520	gebrokent da
975260	976220	men språk som jeg
976220	977140	hun lærte ingenting
978800	979280	så
979900	980600	sånn var det
980600	981680	jeg har ett minne om
981680	983080	når jeg skulle begynt i 4. klasse
983080	984960	og jeg skulle lese høyt
985400	985800	norsk
987300	988700	og helklassen begynte å le
989480	991240	fordi at det hørte jo så veldig rart ut
991240	991680	sikkert
991680	994340	men han læreren var veldig flink
994340	996300	og så sa han bare til de
996300	997220	dere kan le nå
998020	1000240	men om to år skal vi begynne med engelsk
1000720	1002980	og da tror jeg ikke dere kommer til å le så mye
1004240	1005400	og da liksom
1006600	1008700	og så vet jeg jo det at vi sto der
1008700	1010080	da begynte jo liksom
1010080	1010680	Benke og jeg
1010680	1014020	vi hadde jo vært sammen hele tiden
1014020	1014760	som søsken
1016340	1018220	fra dag 1 liksom
1019040	1021680	så begynte prosessen med at vi fikk
1021680	1022840	våre
1022840	1025900	vi fikk våre vennekretser
1025900	1027200	vi var ikke
1028140	1029640	så tette lenger
1029640	1032300	som vi hadde vært
1032300	1034420	så det var jo ikke sant
1034420	1036620	så hun fikk sine venner og jeg
1036620	1038520	og det var jo også en prosess da
1038520	1039100	ja
1039100	1041800	og vi lærte jo norsk fort der
1041800	1042440	ordentlig
1042440	1043540	men da var vi
1043540	1045580	sånn at vi snakket
1045580	1047000	kunne stå i døråpningen
1047000	1048540	snakke engelsk inn
1048540	1049360	til Rose
1049360	1050280	og norsk ut
1050280	1051300	ja ja ja
1051300	1053940	så sånn var det
1055680	1057640	han godeste Fritz Prebensen
1058140	1059760	min bestfar døde i 65
1059760	1060720	ja
1060720	1062260	så det blir da
1062260	1063040	rett i forhold
1063040	1063380	ja
1064120	1066060	han var vel rundt 80 tror jeg
1067400	1069080	og da blei
1069080	1070340	rett og slett
1070340	1070960	gården
1072320	1072880	solgt
1074040	1075820	og jeg tror ikke det var så mye
1075820	1076440	å hente der
1076440	1076760	nei
1077340	1078600	for å være helt ærlig
1078600	1079620	så tror jeg ikke det
1080200	1081520	hadde han gjeld
1081520	1082740	han det vet jeg ikke
1082740	1083420	men han var
1083420	1084540	ikke
1085240	1085800	spesielt
1085800	1087240	flink med penger
1087240	1087600	nei
1088500	1089480	og hun
1091420	1092040	bestemor
1092040	1093960	hun flyttet inn til Oslo
1094620	1096000	men jeg hadde jo selvfølgelig
1096000	1096800	hun litt penger da
1096800	1098300	hun fikk jo vel det som var
1099440	1100060	og
1101720	1102840	hun levde jo
1102840	1103660	lenge
1103660	1106240	hun ble jo godt over 90
1106240	1108040	hun hadde en leilighet
1108040	1108860	i Oslo
1110780	1111840	hun kom ned
1111840	1113160	på ferie
1113160	1114320	til Rysør
1116900	1117720	og da
1117720	1118080	det
1118080	1119460	da var han
1119460	1120620	så oppskrudd
1120620	1121480	når hun skulle komme
1121480	1122860	og hun grudde seg
1122860	1123500	i tre uker
1123500	1123680	ja
1123680	1123960	det var det
1123960	1124080	ja
1124080	1125000	det gikk ikke også
1125000	1126040	nei
1126800	1127780	hun var ikke
1127780	1129120	noen kjærlig
1129120	1129880	bestmor type
1131500	1132600	så sånn var det
1132600	1132940	m
1139200	1139760	Gjerstad
1139760	1141260	og så Rysør
1141260	1142020	og da
1142020	1142960	begynte hun som
1142960	1143860	åtte
1143860	1144820	åtte år
1144820	1145600	i Rysør
1145600	1146120	i hele
1147040	1147620	nei
1147620	1148520	jeg må jo ha vært
1148520	1150000	det året fylt til ti
1150000	1150800	ja
1150800	1152220	i 64
1152980	1153620	vet du
1153620	1154620	jeg er født i desember
1154620	1155200	ja ja
1155200	1155880	selvfølgelig
1155880	1156180	ja
1159420	1160400	det var det
1163980	1165100	det var det
1167380	1168180	og de
1168840	1169420	var
1170660	1172700	altså Jacob begynte jo på tremassen
1172700	1173380	ikke sant
1173380	1173660	ikke sant
1173660	1174120	ja jobbet der
1174120	1174820	fikk han det
1174820	1175700	ganske fort
1175700	1176040	eller
1176040	1177300	ja for de trengte jo folk
1177300	1178100	hele tiden
1178100	1178400	ja
1179540	1181540	så han fikk sjøjobb
1181540	1181800	ja
1182900	1184220	synes han det var greit
1184220	1184400	eller
1184400	1186720	ja men for han fysisk
1186720	1187980	så var det veldig hardt
1187980	1188240	ok
1188240	1189700	han hadde ikke så god
1189700	1191140	god helse
1191140	1191520	nei
1191520	1192360	og jeg tror
1192360	1193420	han røyka jo
1193420	1193960	ja
1193960	1196060	men jeg tror den overgangen
1196060	1197540	fra tropene
1197540	1198720	17 år i tropene
1198720	1200060	og til riser
1200060	1200720	og den var
1200720	1202020	det klimamessig
1202020	1203400	var en stor påkjenning
1203400	1204740	han var ikke så veldig
1204740	1205700	fysisk sterk
1205700	1206860	og det var en fysisk
1206860	1207740	krevende jobb
1208740	1209440	så
1209440	1211200	så det endte jo opp med
1211200	1213340	at han ble uførtrygda
1213340	1214020	åja
1214020	1214980	i
1217280	1218860	kanskje rundt 1970
1218860	1219740	ok
1221380	1222840	så han var ikke lenge
1222840	1223320	han jobbet
1223320	1224520	noen år
1224520	1225540	men han
1225540	1227100	det var jo
1228360	1229700	litt spesielt
1229700	1230680	det heter Prebensen
1230680	1231240	å jobbe på
1231240	1232160	Tremassfabrikken
1233720	1234400	ja
1234400	1235720	så
1235720	1237780	men det tok han greit
1237780	1238600	det
1239420	1241260	det var helt greit
1241260	1242460	han drev litt sånn
1243600	1245080	han kom med seg
1245080	1246000	sånn mentalt
1246000	1246400	ikke sant
1246400	1247980	man hadde noen runde
1247980	1248520	senere også
1248520	1250500	han fikk et par runder
1250500	1250740	ja
1250740	1252100	han gjorde det
1252100	1252520	ja
1255480	1256360	det gjorde han
1256360	1257200	jeg husker det
1258580	1259580	det var det året
1259580	1260340	Gry ble født
1261640	1262080	så
1262080	1262920	så
1262920	1264100	i 76
1264100	1265180	så hadde han en skikkelig
1265180	1265400	igjen
1265400	1266440	og da var han
1266440	1267480	ett år her på
1267480	1268180	Kokkplassen
1268180	1269200	som det heter i Arndal
1269960	1270400	ja
1270400	1270780	ja
1270780	1272320	en psykiatrisk institusjon
1272320	1272440	når
1272440	1273400	Venke ble født
1273400	1273880	nei
1273880	1274560	når Gry ble født
1274560	1274680	ja
1274680	1275580	ikke når Gry ble født
1275580	1276300	i 76
1276300	1276680	ja
1276680	1276940	ja
1276940	1277440	ja
1277440	1278880	og da
1279480	1280760	fikk de liv i den
1281980	1282500	elektrosjokket
1282500	1283220	da de begynte å
1283220	1284060	buke det igjen
1284060	1284260	ja
1284840	1286600	og da brukte de det på han
1286600	1286960	ja
1287700	1289540	og så kom det et medikament
1289540	1290400	som heter Litsium
1290400	1290860	ja
1290860	1292460	som de satt han på
1292460	1293260	ja
1293260	1295100	og det holdt han stabil
1295100	1295320	ja
1295840	1296520	resten av livet
1296520	1296780	ja
1296780	1297980	jeg tror faktisk ikke
1297980	1298920	uten den der
1298920	1299620	så hadde ikke det
1299620	1300000	altså
1300000	1300780	da hadde han vært
1301780	1302300	sånn
1302300	1303140	helt manisk
1303140	1304660	og jeg tror
1305200	1306260	og Venke er sånn
1306260	1307400	delvis enig da
1307400	1309160	at han var biopolar
1309160	1309560	ja
1310200	1311920	det kan du høre sånn ut
1311920	1312140	ja
1312140	1313860	for han var veldig oppe
1313860	1314500	og nede
1315260	1316800	men så holdt Litsium
1316800	1319140	han tok vekk
1319140	1319480	de der
1319480	1319860	så er det med
1319860	1321080	behandling for biopolar
1321080	1321860	er det ikke det
1321860	1322120	jo
1323220	1324040	jeg vet ikke
1324040	1324480	jeg tror du
1324480	1325640	jeg husker jeg spurte
1325640	1327240	du kan ta den nå
