start	end	text
169520	171840	Og vært på en båt ut fra Sandefjord
172460	172580	Det var beste far
172580	173660	Ja, jeg snakket om Jakob
173660	173900	Ja
173900	174900	Det var
174900	175920	Jeg snakket om Jakob hele tiden
175920	176640	Han fikk Arvin
176640	176980	Ja, ja
177840	179640	Fritz Prebensen het han som
179640	181960	Min bestfar som kjøpte det
181960	182460	Gårdenvik
182460	183320	Ja, ja
183320	184480	Men i hvert fall
184480	185980	Han var på valfangst
185980	187240	Og så kom han hjem
187240	187660	Og
187660	189880	Så var det krig
189880	192640	Jeg vet ikke så mye om hva han gjorde under krigen
192640	196980	Han var kanskje noe involvert i motstandsbevegelsen
196980	197480	Ja
197480	198580	Men ikke mye
198580	201220	Jeg vet noe om det
201220	202380	Eller finnes det noe?
202400	204880	Nei, jeg tror det var et miljø i Gjerstad
204880	209360	Som han kjente til
209360	210600	Men
210600	212280	Det som var
212280	213900	Det som jeg tror
213900	214880	Var at
214880	217400	Det etter hvert kom
217400	219440	Gjennom forbindelser
219440	221120	Blant annet hans kusine
221120	222100	Vesla Koren
222100	223860	Hadde på da
223860	225320	Flyttet ut til Kenya
225320	227420	Sammen med sin mann
227420	228580	Dan Koren
228580	230000	Og det var
230000	231600	Moa vært rundt
231600	232740	6, 7 og før
232740	234180	Altså når krigen var slutt
235580	236340	Da
236340	238480	For å snakke om Kenya da
238480	239920	Som var en britisk koloni
239920	241980	Så var engelskmennene
241980	243780	Spesielt veldig opptatt av
243780	244540	At det kom
244540	246180	Europere ut
246180	247700	For å kjøpe jord der
247700	249480	Og starte farmer og dyrke
249480	251420	Og når det var det
251420	252500	Etter krigen
252500	252820	Ja
252820	255340	Og de hadde delvis holdt på
255340	256500	Før krigen også
256500	259680	Blant annet den Koren-familien
259680	261180	Hadde vært der fra
261180	262180	Før krigen
262900	264620	Så han dan Koren
264620	266260	Reiste ned på grunn av det
266260	267880	Og tok med seg da
267880	269600	Jakobs kusine
269600	271320	Og jeg mener at det er
271960	274460	Gjennom hun at han fikk den ideen
274460	276520	Om å komme seg ut der
276520	279220	Og prøve et liv i
280620	281260	!
281260	284300	Settler-miljøet i Kenya
284300	287060	Men han Koren var
287060	288560	Han kjente kusinen
289240	290380	Han var gift med
290500	290600	Gift med kusinen?
290500	290620	Ja
292600	293600	Det var det
293600	294300	Ok
294300	295400	Og hvor bodde der?
296500	298100	Når Jakob reiste ned
298100	298420	Ja
298420	299060	Ok
299060	301260	Så var det andre navn der
302340	305320	Og da må jeg begynne å snakke om den boka
305320	307680	Som jeg har funnet på Nasjonalbiblioteket
309020	313160	Som heter Nordmenn i det koloniale Kenya
313820	316700	Og som omhandler mye rundt det
316700	322860	Og det her nevnes blant annet et navn som jeg plutselig kom på
322860	324260	Og som min far snakket mye om
325360	326560	Brødrene Kopperud
326560	331500	Det var også en norsk familie som etablerte seg der nede
331500	332700	Stål du om de der?
332920	333100	Ja
333100	333500	Ok
333500	335360	Og koren nevnt
336060	336740	Mye
336740	338100	Og kusinen der?
338420	338600	Ja
340180	341540	Så jeg
341540	346060	Det var nok grunnen til at han reiste ut der
347580	353280	Og for å komme seg vekk ifra Gjerstad
353280	355500	Det hadde han et ro for
356980	357580	Så
357580	362520	Kan vet du noe særlig om hvorfor han ville ikke være der?
362820	366880	Det var en dårlig relasjon mellom han og foreldrene
366880	367240	Ja
368080	369140	Rett og slett
369940	371080	Trebensen i seg selv
371080	372880	Det er nesten et kapittel for seg selv
374020	376100	Trebensfamilien er jo et kapittel for seg selv
376100	380200	Men det var en dårlig relasjon mellom hans far og mor og han
382560	383800	De to og han?
383800	384060	Ja
384060	384400	Ja
384400	387200	Hva med forholdet mellom frits og kona da?
387420	388720	Det vet jeg ingenting om
388720	388800	Nei?
389440	389620	Ok
391140	392820	Og vet han ro for?
393140	393940	Sa han noe om det?
394300	398120	De stilte, ifølge han selv, så stilte de store krav til han
398120	400080	Som ikke han klarte om å fylle
400080	401100	Hvordan krav da?
401700	404960	Han skulle overta gården
404960	405680	De ville at det
406980	407540	Påstå
407540	408960	De ville at han
408960	411220	Skulle gjøre det bra på skolen
411220	414380	Han var en veldig nervøs type allerede den gangen
414380	415120	Har han sagt det selv?
415300	415420	Ja
416340	416920	Ja
416920	417240	Så
417240	418320	Så
419000	419580	Det
420480	421780	Samtidig som han hadde jo
421780	423440	Gøts og eventyrlyst
423440	424660	I og med at han var på
424660	426280	På valfangst
426280	426440	Ja
427660	429400	Og studing og sport
429400	431440	Ja, han hadde det
431440	435800	Men så var han også en veldig, veldig flott mann
435800	436100	Ja
437460	439740	Og det har jeg skjønt
439740	444360	Han hadde veldig høye tanker om seg selv og sitt eget utseende
445440	447000	Det er også noe jeg husker
448620	449900	Og så det
449900	455000	Så han var jo godt rustet kan du si til å komme til Kenya og leve
455000	457500	Hadde han jo kjærester og sånne dager
457500	461080	Han påstod han hadde vært bukseforloga to ganger eller tre ganger i Norge
461080	462140	Før han reiste ut
462140	462880	Hvorforloga?
463540	464140	Bukseforloga
464140	464520	Ok
465120	465720	Ok
465720	466860	Må jeg utprodere det?
467020	467620	Nei
469460	470060	Nei
470060	471080	Forstå
472440	473420	Får jeg en type?
473800	474620	Ja, så det
474620	477900	Det er absolutt ganske fargerik
477900	479420	På sin måte
480860	481460	Så
481460	482880	Så det å komme
482880	485480	Så det tror for han var det en stor opplevelse
485480	486900	Å komme ut i
486900	488180	Det må jo ha vært i
488180	489560	I 47
489560	490820	Tipper jeg
492500	495040	Fordi de gifta seg i 52
495040	498480	Og han sa han hadde vært der i 6-7 år før han traff ho
500060	501220	Rett etter kringen
501220	501500	Ja
502460	507340	Og det var i den perioden mange reiste og bosatt seg der i Kenya
507820	509320	Fordi det var spennende
509320	511100	Det var muligheter
511100	512780	Og det var ikke regulert
513400	513860	Ikke minst
513860	516080	Men det måtte være litt sånn bemidlet
516820	517320	Skjønner du?
517340	520020	Ja, han hadde en agronomutdannelse fra før
520020	522000	Som han hadde tatt her på Holt
522000	523740	Ved Tvedstrand
523740	525360	Så han hadde en bakgrunn
525360	527180	Men de var jo ikke arbeiderende i klasse
527180	527500	Ikke sant?
527980	528220	Nei
528220	529160	Det hadde jo ikke skjedd uten tre
529160	530160	Hva slags økonomi
530160	531380	Han hadde det ane jeg ikke
531380	536040	Men han jobbet jo for
536040	539480	Når han kom ned så jobbet han for Dan Koren
540180	541380	I mange år
541380	541680	Ok
543080	544120	Med kaffe?
544380	545960	Nei, da var det kveg
545960	547080	Ah, ja
547080	548780	Da var det kveg
548780	550480	For Dan Koren hadde kveg
550480	551820	Og vet du hvor det var?
552440	552880	Hvor?
553000	553580	Hvor i Kenya?
553580	556820	Ja, det var i Høylandet
556820	558700	Det var rundt Nairobi-trattene
558700	560940	Og det står det en god del om her
560940	561180	Ok
561180	568000	Og det området hvor de hadde sitt
568600	570200	Det var het Sianda
572040	574800	Så det var der han var
574800	576080	Og så fikk han jo
576080	578420	Så kan han jo lese litt
579120	581300	Disse historiene om det gode liv
581300	582900	Der nede hvor de
582900	584640	I britisk perspektiv
584640	586380	Hvor de var
588320	589640	Mye festing
589640	590980	Mye klubb
590980	593260	De levde et liv på klubbene
593260	594780	Men gjorde de folk da?
594940	596040	De gjorde best for det
596040	597140	Europærene, ja
597140	598320	Og klubb da
598320	599260	Det er jo ikke
599920	601420	Det er jo et møtested
601420	602720	Ja, det er jo ikke en klubb
602720	603400	Så mye moderner
603400	605160	Det var et møtested
605160	606240	Som de etablerte
606240	607660	Explorers-klubb
607660	607940	Ja
609000	611200	Eller Colonial Master-klubb
611200	612980	Og det er det også
612980	614120	Skrevet litt om her
614120	614520	Ja
616740	618860	Så han må jo
620040	620920	Storkose seg
620920	621720	Tenker jeg
621720	622120	Ja
623100	624820	Er det noen bilder og sånt
624820	625320	Fra dette?
625740	627180	Ikke den tiden
627180	628660	Jeg har bilder fra
628660	630360	Etter de gifta seg
630360	631320	Og jeg ble født
631320	632540	Og vi har jo
633300	634440	Alle de filmene
634440	636240	Det jeg snakket med Gry om
636240	637080	Eller med deg
637080	638240	Nei, med Gry
638240	638580	Ja
638580	639660	Gry velgen
639660	640180	Tatt av deg
640180	641800	Men det også har vi fått
641800	642340	Ja
654620	657860	Det vi kan lese
657860	659660	Han hadde jo eventyrlyst
659660	660360	Når han drev med
660360	661500	Det var blåvalg
661500	662080	Det har jeg funnet ut
662080	662880	Han er blåvalg
662880	663080	Takk
663080	663680	Han drev med
663680	663960	Ja
664600	665000	Og
666600	667400	Selvfølgelig eventyrlyst
667400	667820	Og
670300	672160	Behov for å komme seg bort
672160	672880	Ikke sant?
673380	673420	Ja
675340	677420	Så det er det
677420	679260	Jeg kan si om han
679260	679860	Han
681940	682580	Han
683320	685640	Men den nervositeten hans
685640	686800	Det er jo sentralt
686800	687740	Den tror jeg har vært der
687740	688660	Hele tiden
688660	689220	Ja
689220	690280	At hans personlighet
690280	690880	Var sånn
690880	691300	Han var
691300	692700	Han var
692700	694640	Han var en litt engstelig type
694640	695080	Mhm
695080	697100	Men hadde han
697100	697660	Noen sånne her
698580	699540	Trygge voksne
699540	700600	I livet sitt
700600	701120	Liksom
701120	702200	Eller manglet han det?
702220	702500	I Risøl
702500	703120	Ja
703120	703220	Ja
703220	704520	Det var tjenestepikene
704520	705120	Var det det?
705700	705940	Ok
705940	707120	Har han snakket om det?
707280	707420	Ja
708960	709440	Herregud
710440	711360	Det har han
711360	713540	Så det var sånn kjølig forhold til
713540	714200	Ja
714200	714720	Herregud
714720	715020	For
715660	716140	Ja
716680	718660	Det sa han han hadde bedre forhold til
718660	719240	De enn til
719240	720260	Sin egen mor og far
720260	720840	Sprøtt
720840	721360	Ja
721360	721980	Ja
724100	724960	Det var ikke sant
724960	726000	Det er spesielt da
726000	726360	Ja
727000	728500	Så han var preget av det
728500	728880	Ja
730200	730720	Så
733080	733600	Ja
733600	735200	Dvelte mye med det
735200	735760	Ja
735760	736860	Alt for mye
736860	737320	Med det
737320	738660	Det var jo
738660	739600	Før man
739600	740900	Han hadde sikkert trengt
740900	742040	Moderne psykoterapier
742040	742320	Ja
742320	743200	For å
743200	743960	Takle det der
743960	744520	På en god måte
744520	744820	Ja
744820	746240	Han fikk jo den gamle gode
746240	747680	Det der minner meg
747680	748320	Veldig av denne boka
748320	749280	Til han Erik Rundi
749280	750240	Ja
750240	750740	På en måte
752020	752540	Sånn
753700	754220	Sånn
754220	754220	
756040	757080	Som tilhørighet
757720	758240	Liksom
758240	759160	Som han litt
759160	759940	Manglet
759940	760720	Hvem er jeg
760720	761160	Liksom
761160	761400	Og det
761400	763180	Slørte han faren til Erik Rundi
763180	763540	Veldig med om
763540	764400	Siden han var tysk
764940	765460	Ja
766740	768440	Så det er vel han
768440	768980	Tror det
768980	769720	Som jeg kan
769720	770880	Si om han
770880	771260	Mhm
772440	773300	Han var
773300	774300	Altså
774920	776400	Og gammel han har vært da
776400	777460	Når han reiste ut der
777460	779140	Når jeg sier han var født i 1916
779140	780620	Og så reiste han ut der
780620	781760	Da var han 30
781760	782500	Mhm
782500	783720	Ja
783720	784120	31
784120	784980	31
784980	785120	31
785120	785380	Ja
785380	786020	Ja
786020	787180	Den alderen der
787180	788220	Det er kanskje litt greit
788220	789180	Å få det med
789180	789740	Ja
789740	790000	Ja
790000	790740	Og så
791980	792620	Ja
792620	793720	Og var jo unge
793720	794500	Kingen da
794500	795220	Det er jo liksom
795220	795560	Ja
795560	797160	En hel historie for seg selv
797160	797520	Det også
797520	798440	Hvordan det var
798440	798880	Ja
799620	800140	Ja
800140	800480	Ja
800480	801560	Det er interessant
802240	802880	Mhm
802880	805720	Så det han forlote i Norge
805720	806960	Det var jo to søstre
806960	808180	Og den eldste
808180	808460	Minnie
808460	809040	Mhm
809040	810620	Som da var gift med
810620	811080	Pera
811080	812180	Hadde gifta seg med
812180	812920	Pera Adler
812920	814780	Han var jo motstandsmann
814780	815220	Ja
815220	815980	Og satt på Grini
815980	816340	Ja
817440	818920	Den yngste søstra
818920	820400	Og det
820400	821740	Er jo
821740	822860	Enda sprøret
822860	823640	Det er jo at
823640	824360	Hun reiste
824360	825760	To år etterpå ut
825760	826080	Ja
826080	827400	Men hun reiste jo til
827400	828160	Sydafrika
828160	828500	Mhm
828500	830240	Der har vi jo
830240	830840	Hatt familie
830840	831180	Ikke sant
831180	832400	Vi har familie
832400	833080	Har familie
833080	833360	Ja
833360	834440	Som ingen kjenner
834440	834740	Ja
834740	834780	Ja
835980	837960	Vi får jo treff
837960	838660	For det en annen
838660	838840	Eller
838840	839280	Ja
840200	841080	Så hun
841080	842120	Hun reiste nok
842120	842840	Av samme grunn
842840	843340	Ja
844460	844900	Mhm
844900	846600	Så det
847060	848000	De har vi
848000	849460	Ingen forbindelse med
849460	850180	I det hele tatt
851280	851720	Nei
851720	852700	Men det kan jeg jo
852700	853540	Kom tilbake til
853540	854080	Men det er greit
854080	854600	Å si det
854600	855600	At hun reiste ut
855600	856340	Og gifta seg
856340	857080	I Sydafrika
857080	858480	Ja
858480	859320	Mhm
859320	860000	Så
860000	860880	Kult
860880	862240	Så kan vi jo
862240	863320	Gå over på Rose
863320	863600	Ja
863600	865360	Rosemary Darut
865360	865860	Mhm
865860	867440	The famous one
867440	867980	Mhm
867980	868780	Legenden
868780	870360	The legend
870360	871860	Is it alright
871860	872580	That I speak
872580	873480	English sometimes?
874020	874040	Yes
874040	874380	Yes
874380	874740	Ok
877700	878580	Hun
878580	879860	Da
879860	880880	Var da
880880	882200	Født i 1926
882200	885220	Og hadde blitt 100 år nå
885220	886360	23. mars
886360	886720	Mhm
888380	891660	Like gammel som dronning Elisabeth
891660	892180	Nei
892180	893700	Veldig stolt av det
893700	894020	Ja
894020	894620	Var hun
895680	896480	Mhm
896480	898720	Det er jo en
898720	899700	En sterk historie
899700	900780	Med henne
900780	901560	Mhm
901560	903680	Og da kan vi jo
903680	906200	Komme tilbake til den kolonitiden
907740	909340	Til England
909340	910040	Mhm
910040	911320	Fordi
911320	912080	Hun
912080	914580	Var datter av
914580	916320	En
916320	918160	En
918160	919180	Hva skal jeg si
921160	922120	Britisk
922120	923160	Yrkesmilitær
923160	924240	Yrkesmilitær
924240	924420	Ja
924420	925260	Ja
925260	926120	Oberst
926120	926420	Ikke sant
926420	927380	Han ble det
927380	927980	Sein
927980	928360	Sein
928360	929120	Mye senere
929120	930460	Han var ikke det den gangen
930460	930560	Ja
930560	933100	Men han var yrkesmilitær
933100	933700	Og
933700	934120	Og
934120	936980	Var operert i India
936980	938100	Mhm
938100	938760	Mest
938760	939300	Mhm
939300	942560	Han deltok i begge verdenskrigene
942560	943100	Ja
944860	945760	Så
945760	948420	Og det vet man mye om gjennom
948420	949220	Chris og
949220	949520	Ja
949520	949620	Ja
950220	950240	Ja
951400	951580	Ja
951580	952120	Ja
952120	952260	Så
952260	953100	Så hun
953100	953780	Men i hvert fall
953780	954580	Født i
954580	954640	I
954640	955220	I
955220	955500	26
956580	959060	Og han tror jeg var født i
961240	961800	!
961800	965620	1896
965620	965800	Mhm
965800	969400	Så han var ikke så gammel når han ble far
969400	974960	Og gifta seg med Catherine
974960	975460	Åben
975460	975640	Ja
975640	976640	Haltskotsk
976640	978680	Hvis ikke hun var helskottet
976640	977860	Det er jeg litt usikker på
977860	978720	Mhm
978680	978680	
979340	979940	Og
980620	981880	De fikk rose
981880	983020	Vet du hvor de vettes
983020	983700	Hvor de vettes
983700	984120	Hvor de vettes
984120	984420	Nei
984420	984920	Nei
984920	985040	Mhm
985660	987380	Det som skjedde
987380	989360	Som var svært sjeldent den gangen
989360	990040	Var at
990040	991680	De skilte seg
991680	992420	Når hun var
993620	994760	4-5 år
994760	995060	Mhm
995060	997020	Det var noe man ikke gjorde
997020	997460	Mhm
998540	999140	Og
999140	1000700	Og det var som regel
1000700	1002820	Det var i hvert fall to grunner til skilsmessighet
1002820	1004180	Som var lovlig den gangen
1004180	1005240	Det var utroskap
1005240	1005780	Og det var
1007940	1010940	Jeg tror det må ha vært vold eller
1010940	1011240	Ja
1011240	1012480	Og jeg tror
1012480	1013880	Jeg mener at
1014500	1016160	Vår slekt i Australia
1016160	1016900	Har gravd i det
1016900	1018080	Og påstår at det var
1018080	1020440	At det på stort på det papiret utroskap
1020440	1021180	Er det sant?
1021620	1021720	Ja
1021720	1023080	Men det kan være
1023080	1026620	Den offisielle grunnen for at den skilsmissen skulle gå hjem
1026620	1027520	Ja, selvfølgelig
1028400	1029400	De måtte ha
1029400	1031420	Men noe må det ha vært da
1031420	1031780	Ja
1031780	1033700	De passer ikke sammen
1033700	1034800	Nei
1034800	1035320	I følge
1035320	1036700	De bare kraner
1036700	1038660	Det kan godt være at han var utro
1038660	1039060	Ja
1039060	1041180	Det er det jo ingen som vet da
1041180	1041700	Nei
1041700	1041980	Nei
1041980	1044000	Han var jo en skikkelig lady man
1044000	1044440	Ja
1044440	1044840	Han
1044840	1045200	Ja
1045200	1046260	Så
1046920	1048700	Og hun vet jo litt om det
1049280	1050660	Ingenting om den familien
1050660	1051000	Nei
1051000	1051760	Veldig lite
1051760	1053420	Men bestemål hadde litt kontakt med din
1053420	1053840	Er det?
1054040	1054340	Ja
1054340	1055140	Altså vi
1055140	1056000	Ja, det hadde hun
1056640	1057200	Ja
1057200	1058260	Absolutt
1058260	1061720	I hvert fall så ble de skilt
1061720	1066140	Og så kom hun på skole som 6-7åring
1067560	1070280	I Wales tror jeg den skolen var
1070280	1072960	Og den var faktisk drevet av
1072960	1076040	Jeg tror de må være Jehovas vittne
1076040	1078180	Fordi at den familien var Jehovas vittne
1078180	1078760	Ok
1078760	1080000	Var det det?
1080220	1080480	Ja
1080480	1080700	Ja
1080700	1081600	Ja
1081600	1081800	Ja
1081800	1081940	Oi
1082640	1082700	Så
1084160	1085580	Men det har ikke hun sagt
1085580	1085820	Det
1085820	1086960	Hun fortalte jo litt
1086960	1097340	Og det endte jo opp med at hun ble en unge som gikk på korsskole helt fra hun var 6-7 år til hun var 17
1099580	1100180	!
1100180	1102000	Og da var jo krigen brutt ut
1102000	1102000	
1110700	1111640	Det var det eneste feriet
1112580	1115160	Veldig mye bodde hos sin bestemor på mors sida
1115160	1115500	Ja
1115500	1117120	Snakket varmt om hun
1117120	1117440	Ja
1118240	1119320	I Skottland?
1119480	1120980	Nei, det vet jeg ikke hvor
1121640	1122200	Nei
1122200	1122200	
1122200	1123440	Men det
1123440	1125380	Hun hadde jo ikke noe hjem
1125380	1126520	Å komme til
1126520	1127280	Nei
1127280	1128820	Og han var ute i kolonien
1128820	1129180	Ja
1130620	1131680	Ja, i India
1131680	1132000	India
1132000	1133840	Men ikke med noe dame da?
1134260	1136580	Nei, han må ha truffet henne
1136580	1139980	Hans nye kone tror jeg han traff ut i India
1139980	1140520	Ja
1142320	1143360	Så det
1143360	1147480	Og det gjorde jo også Kathleen
1147480	1150280	Hun traff også en ny mann ute i India
1150280	1151100	Ja, jeg skjønner
1151100	1152400	Som het Reggie
1152400	1153040	Ja
1153880	1155580	Så hun fikk en stefar
1155580	1156120	Ja
1156120	1157880	Hun, de har vi hatt kontakt med?
1158180	1160040	Ja, jeg har hatt kontakt med de
1160800	1163360	Så hun fikk en stefar først
1163360	1168340	Og det husker jeg hun fortalte at hun ble hentet ut av skolen
1168340	1173540	Og var på en reise i India rundt med de
1173540	1175620	Ja, i Afghanistan
1175620	1176500	Ja
1176500	1176820	Ja
1176820	1176940	Ja
1176940	1176940	
1176940	1176940	
1176940	1177220	Ja
1177220	1177240	Ja
1177240	1177440	Ja
1177440	1177440	
1177440	1177440	
1177440	1177440	
1177440	1177440	
1177440	1177440	
1177440	1177760	Ja
1177760	1177840	Ja
1177840	1177840	
1177840	1177840	
1177840	1177840	
1177840	1177840	
1177840	1177840	
1178620	1179240	Ja
1179240	1179260	Ja
1179260	1179260	
1179260	1179340	Ja
1179340	1179340	
1179340	1179340	
1179340	1179340	
1179340	1179340	
1179340	1179640	Ja
1179640	1179640	
1179640	1179640	
1179640	1179640	
1179640	1179640	
1179640	1179640	
1179640	1179660	Ja
1179660	1179660	
1179660	1179660	
1179660	1179660	
1179660	1180040	Ja
1180040	1180040	
1180040	1180040	
1180040	1180040	
1180040	1180040	
1180040	1180040	
1180040	1180660	Ja
1180660	1180660	
1180660	1180680	Ja
1180680	1180680	
1180680	1180680	
1180680	1180680	
1180680	1180680	
1180680	1180760	Ja
1180760	1180760	
1180760	1180760	
1182120	1182740	!
1178900	1178900	
1178900	1178900	
1178900	1179400	!
1179400	1178900	!
1178900	1179400	!
1179400	1178900	!
1178900	1179400	!
1179400	1178900	!
1178900	1179400	!
1179400	1179900	!
1179900	1178900	!
1178900	1179900	!
1182740	1183160	!
1187460	1187760	Ja
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1187760	
1187760	1188160	Ja
1188160	1188160	
1188160	1188320	Ja
1188320	1188320	
1188320	1188360	Ja
1188360	1188360	
1188360	1188360	
1188360	1188360	
1188360	1188460	Ja
1193880	1194180	Ja
1194820	1195120	Ja
1195120	1195120	
1195120	1195120	
1195120	1195180	Ja
1195180	1195260	Ja
1195260	1195300	Ja
1195300	1195300	
1195300	1195340	Ja
1195340	1195340	
1196460	1196760	Ja
1196760	1196900	Ja
1196900	1196900	
1199260	1199720	Ja
1199720	1199720	
1199720	1199720	
1199720	1199720	
1199720	1199720	
1199720	1199800	Ja
1199800	1200080	Ja
1202700	1203160	Ja
1203160	1203300	Ja
1203300	1203540	Ja
1203540	1203540	
1204200	1204660	Ja
1204660	1204740	Ja
1204740	1205260	Ja
1205260	1205360	Ja
1205360	1205360	
1205360	1205360	
1205360	1205460	Ja
1206180	1206640	Ja
1208500	1208960	Ja
1210700	1211160	Ja
1211160	1211160	
1211160	1211380	Ja
1211380	1211380	
1211380	1212080	Ja
1212080	1212080	
1212080	1212080	
1212080	1212200	Ja
1212200	1212220	Ja
1213940	1214400	Ja
1214400	1214400	
1214400	1214400	
1215980	1216440	Ja
1216440	1216520	Ja
1216520	1216520	
1216520	1216520	
1216520	1216620	Ja
1216620	1216620	
1216620	1217340	Ja
1218080	1218540	Ja
1218540	1219260	Ja
1219900	1220360	Ja
1220360	1220360	
1220360	1220400	Ja
1220400	1220400	
1220400	1220620	Ja
1220620	1220620	
1220620	1220680	Ja
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1205960	1205960	
1227260	1227420	Ja
1227420	1227620	Ja
1227840	1228000	Ja
1228000	1228020	Ja
1228020	1228060	Ja
1228060	1228140	Ja
1228140	1228200	Ja
1228200	1228400	Ja
1228400	1228400	
1228400	1228420	Ja
1228420	1228420	
1228420	1228500	Ja
1229440	1229600	Ja
1229600	1229860	Ja
1229860	1229960	Ja
1229960	1230020	Ja
1230020	1230060	Ja
1230700	1230860	Ja
1230860	1230860	
1232240	1232400	Ja
1232400	1232640	Ja
1232640	1232680	Ja
1232680	1232740	Ja
1232740	1232740	
1232740	1232820	Ja
1232820	1232980	Ja
1232980	1232980	
1233300	1233460	Ja
1233460	1233520	Ja
1233520	1233540	Ja
1234900	1235060	Ja
1235060	1235060	
1235060	1235060	
1235600	1235760	Ja
1235760	1235760	
1235760	1235760	
1235760	1235920	Ja
1235920	1235920	
1236340	1236500	Ja
1236500	1236600	Ja
1236600	1236680	Ja
1236680	1236700	Ja
1236700	1236780	Ja
1236780	1236820	Ja
1236820	1236820	
1236820	1236940	Ja
1236940	1236940	
1236940	1236940	
1238520	1238520	
1238520	1238520	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1235960	1235960	
1258840	1259000	Ja
1259000	1259000	
1259000	1259000	
1259000	1259060	Ja
1259060	1259060	
1259060	1259060	
1259060	1259060	
1259060	1259060	
1259820	1259980	Ja
1259980	1259980	
1259980	1259980	
1259980	1260220	Ja
1260220	1260260	Ja
1260260	1260320	Ja
1260320	1260440	Ja
1260440	1260560	Ja
1260560	1260600	Ja
1260600	1260660	Ja
1260660	1260660	
1260660	1260740	Ja
1260740	1260820	Ja
1262300	1262460	Ja
1262460	1262540	Ja
1262540	1262580	Ja
1262580	1262660	Ja
1263460	1263620	Ja
1263620	1263620	
1263620	1263620	
1263620	1263700	Ja
