start	end	text
571200	571720	Så...
571720	575320	Det kan hende de hadde med noen kaffebønner til Norge som ble...
575860	576160	Ja.
577080	578180	Hun var jo så mye rart.
578180	579460	Men ble det...
579460	580120	Aner du...
580120	581380	For du...
581380	583180	Robbyslo og vet du...
584320	584960	Og eier...
584960	587280	Visst, det hadde vært så gøy å liksom...
588360	590180	Kunne finne ut mer om hvilket...
591080	594060	Var det en del av større selskap eller var det vel...
594060	595320	Jeg tror han satt...
595320	596860	Søttklift hadde flere...
596860	597740	Søttklift, ja.
598520	598960	Plantasjer.
599400	599620	Ja.
599620	603160	Som han hadde øyde og som da hadde forskjellige bestyrere.
603420	603560	Ja.
603740	605060	Så det var på en måte familiebedriften...
605980	606220	Og de hadde...
606220	606660	De hadde...
606660	607240	De hadde...
607240	609340	De hadde veldig god råd, for jeg vet at vi...
609340	610060	Av og til...
611020	612660	Vi skulle på besøk til de.
612780	613980	Det var en ganske lang tur.
614300	614400	Mhm.
615180	618120	Og da ble vi alltid dressa opp i en...
618120	618960	De fineste...
618960	620560	Hun sydde jo alle kjolene til oss.
620720	620780	Ja.
621320	623320	På en sånn liten singermaskin.
623440	623500	Mhm.
624240	626140	Og da ble vi alltid dressa opp i de.
626400	629000	Og fikk streng beskjed om å ikke grise oss til.
629180	629300	Ok.
629540	631060	Og måtte oppføre oss.
631180	631560	Ja, ja.
631560	632920	Når vi var på besøk der.
633340	634840	Men står det om han i den boka?
635080	635400	Nei.
636580	637020	Nei.
637100	639860	Så da er det viktig poenget med å prøve å...
639860	642840	Søke opp den informasjonen om hans søttklift, da.
643200	643200	
643480	644040	Søttklift, ja.
644620	644640	Mhm.
645680	646560	Så det...
647020	647460	Det...
650320	650760	Det...
650760	651520	Det er jo enn det er i Kenya.
651800	655120	Ved siden av kvegdrift som kolen strev med, ikke sant?
655460	655460	
656620	657980	Så det...
657980	662360	Da har det vært borti akkurat det minnet der med kaffen.
662700	662880	Mhm.
664960	665640	Selvfølgelig.
665960	670760	Det som også forbinder med kaffen var jo at Jakob han skjøyt to...
671920	674540	To pythonslanger i kaffen.
675940	676680	I kaffen?
676900	679900	Altså som da gikk imellom kaffebuskene.
680020	680240	Ja, ja.
680240	682140	En kaffebusk gikk jo cirka halvannen meter.
682320	682420	Mhm.
682900	683540	Som han da skjøyt.
684800	685320	Mhm.
685320	685660	Ehm.
686480	687000	Og da...
687000	692620	Og den tok den fiss, så fikk han de innføtte og ta den tilbake.
692940	693060	Mhm.
693300	694700	Så ga han de kjøttet.
695140	695300	Ja.
695800	697300	Mottatt de flodden foran.
697440	697620	Ok.
698140	698140	
698960	700780	Og det er også noe jeg husker at han...
701560	702360	At den...
702980	709040	Det skinnet ble spent på to lange planker og lagt til å tørke opp på billiardbordet.
709280	711720	For de hadde eget billiardrom.
711940	712100	Mhm.
712100	713880	Hvor de spilte billiard om kveldene.
714000	715280	Du vet, det var jo ikke TV eller noe.
715400	715620	Ja, ja, ja.
716000	717320	Så det holdt de på med.
717480	717640	Mhm.
717860	718220	Mye.
718560	718620	Mhm.
719540	721360	Men de, hvem er det beste med røst her?
721460	724200	Ja, Rose og Jakob og hvis de hadde besøk.
724340	725000	Ja, sånn er det.
725300	726660	Pool's Head kallte de det.
727140	727340	Ja, ja.
727680	728000	Kult.
728500	731060	Det er en form for, som Svein sier, det er en form for billiard.
731420	731800	Ja, ja.
732340	732340	
733340	736060	Så det vet jeg jo også.
736480	740940	Og så kan vi jo snakke litt om slanger da, for det var jo alltid veldig gøy å...
740940	741180	Mhm.
741500	748340	Og det har jo fortalt dere også i det, og han var jo veldig interessert i slanger påstå han.
748540	748620	Ja.
777180	778580	Ja.
778580	781020	da var det på to nivåer og du måtte ned for å komme på do.
781860	785740	og kjøkkenet var ut derfra på en gårdsplass.
785980	786040	Mhm.
786220	791340	I hvert fall så satt han alltid, lenge på do med døra åpen.
793540	803500	Rett over, og så rett på varmtvannsrøret, som gikk akkurat i det lille rommet som den gangen som du kom inn i.
803500	803760	Mhm.
804560	811300	Og da oppdaget han mens han satt der, en svær feilt pafferder.
811580	813500	Åh, her gud, det var kjempegiftig.
814520	814740	Ja.
814740	815960	Ja, og dette husker jeg.
816160	816320	Ja.
816980	825420	Og så hørte vi bare han brølte Rosemary, get the children out.
825660	825840	Ja.
826440	829700	Og vi ut, og så...
829700	831500	Men hvor var dere inn i...
831500	832420	Ja, der var vi i huset, ja.
832480	832860	Ja, ok.
833460	834600	Get the children out.
834740	836260	Og slangen var på doen.
836600	838220	Nei, den lå i det andre rommet.
838320	839620	Åh, jeg så ned, jeg så ned.
839740	841480	Jeg har satt og så det.
841640	842300	Åh, hanker.
842560	842880	Ja, ja.
843440	845340	Der var det... ja, der lå du.
845680	845720	Ja.
846100	849600	Og så dro han opp buksa, han elsker å fortelle deg selv.
849820	849820	
850520	851120	Og så...
851120	852220	Tørk han seg reva først?
852220	853400	Ja, det vet jeg ikke.
853720	860880	Men i hvert fall så måtte vi ut av huset, og så ble kokken og kjøkken,
860880	865180	den gutten og de også fikk beskjed om å gå ut.
865180	865500	Mhm.
865920	870580	Og så fikk han tak i et eller annet, og fikk slått den ihjel.
870780	870860	Ja.
871680	872840	Han var ikke redd for det.
872960	873680	Nei, nei, jeg skjønner.
873800	874960	Det var han ikke redd for.
875220	879460	Jeg har jo en bok som er noe sånn snake catching, som du tror kanskje...
879460	880420	Ja, det er...
880420	880920	Ja.
880920	880920	
881920	882600	Så han...
882600	882880	Den...
882880	883380	Den...
883380	884180	Den bært han jo...
884920	892920	Så bært han ut den her feite slangen, dritkvald, og la den på sementen på utsida kjøkkenet.
893560	895760	Og da kunne vi komme og se på den.
896080	896200	Mhm.
896320	898740	Så sto vi liksom litt på avstand og kikket på den.
899000	902460	Og så kom katten, og satt seg ned og kikket på den.
902780	904380	Og så hørte vi en fresing.
905340	907000	Så trodde vi at det var katten.
907880	908240	Mhm.
908240	910900	Så gikk katten vekk, og så fortsatte fresingen.
910900	912920	Da hadde han satt seg på noe igjen.
913300	914920	Og da var han ikke helt død.
915160	915900	Er det sant?
916800	916800	
918240	921300	Så da måtte han ut igjen, og så ta den en runde til.
921580	922160	Åh, rei.
922440	922660	Ja.
923460	926520	Det er den festlige historien av det.
926960	934380	Men så påstod han da, at han fant en mann da, som var dødsgiftig.
934760	934940	Mhm.
935160	936480	Blant lekene våre.
936880	937640	Nå var det det?
937720	938220	På veranda.
938380	938900	Nei, jeg.
939480	941880	Så det var jo en issue der ute.
942080	944300	Det var jo de, det var jo det.
944720	945780	Men drepte han en mann da nå?
946000	946920	Ja, det må han ha gjort.
947160	950400	Ja, den er jo en av de giftigste sjongene i verden.
950720	950720	
951480	954260	Så, men det var jo grunnen til at vi aldri var alene.
954560	954700	Mhm.
955220	956940	Og vi alltid hadde en Aya.
959060	960740	En barnepike, som het Aya.
961280	962580	Som så etter oss.
962800	964760	Når vi var ute.
965080	966180	Når ikke hun var der.
966200	967740	Når hun snakket engelsk og sånn?
967740	968980	Nei, svahili.
969260	969580	Åja.
969800	971220	Vi snakket jo svahili mer.
971260	972840	Ja, det snakket litt. Lærte dere det da?
972860	973720	Kitchen svahili.
973900	974160	Ja, ja.
975280	976420	De enkleste ordene.
976600	976760	Ja.
977320	978120	Så vi forstod hun.
978260	980180	Men mange av dem kunne vel engelsk eller?
980920	981500	Veldig få.
981700	981900	Ok.
982680	983260	Veldig få.
983260	983280	å.
983440	983800	Ja.
984240	989340	Så det gikk jo på svahili hele tiden mellom min far og...
989340	989740	Ja.
989980	994040	Og den var jo sikkert like elendig som engelsk, men hans far hadde jo en grus om engelsk.
994240	994240	
994240	996400	Men det måtte de lære seg.
996660	996740	Ja.
996880	998600	Og Rose kunne også svahili.
998620	999160	Og kunne også det.
999360	999500	Ja.
999500	999580	Ja.
1000100	1000100	
1000600	1004220	Så det er jo et minne med slangene da.
1004560	1004720	Mhm.
1005800	1010720	Så kan jeg jo ta litt om de tjenerne når vi var inne på de da.
1010940	1011040	Mhm.
1011380	1014260	Oppi i hovedhuset de de husker best.
1014600	1014700	Mhm.
1015100	1023680	Og der var kjøkkenen alltid på utsida av hovedhuset, men innenfor dette her pigdra og jævlig opplegget.
1023960	1024040	Mhm.
1024580	1027440	Og det ble, det var vekomfyr, det var ikke noe strøm der.
1027720	1027840	Mhm.
1028060	1029780	Så de lagde all mat der.
1030800	1031680	På vekomfyr?
1031800	1031920	Ja.
1031980	1032440	Til dere?
1032640	1032840	Ja.
1033200	1034900	Etter instruks fra Rose.
1035180	1035240	Mhm.
1035240	1038160	Så hun var ute hver morgen og instruerte hva de skulle gjøre.
1038480	1038660	Ok.
1039280	1042680	Og vi hadde en kokk som het Charago.
1043380	1045700	Han hadde da sånn hvit kokkelue.
1046000	1046160	Mhm.
1046400	1047840	Og grønt folke, tror jeg.
1048100	1048240	Mhm.
1049400	1051740	Han var veldig flink til å lage mat, forstå jeg.
1051740	1054800	og han hadde vi, han kunne vi prate med.
1054960	1059160	Han var veldig snill og pratet med oss, flink med å prate med unger.
1059260	1059840	På Swahili?
1060040	1060620	På Swahili.
1060720	1061300	Ok, ja.
1061680	1064900	Så vi var ute og snakket litt med han.
1065140	1065300	Mhm.
1067420	1071440	Men han er da, han hadde en ting og det var at han var stadig på fylla.
1072540	1072860	Ok.
1073120	1075860	Det står i den dagboka.
1076200	1076600	Er det det?
1076820	1077020	Ja.
1077660	1079840	Shall I go off again?
1079840	1080720	Er det sant?
1081040	1081080	Ja.
1082660	1082660	
1083080	1083480	Drinking.
1083780	1084060	Følgelig.
1084260	1087080	Og så går det liksom litt fram, shall I go back again?
1087440	1087640	Ok.
1087960	1089700	Men hvem lagde mat når han var borte da?
1089840	1091940	Nei, det må jo ha vært hun da, hvis det ikke...
1091940	1092100	Ja.
1092480	1096600	For hun hadde sin egen lille konfir og den må jo ha vært på gass.
1096920	1097040	Mhm.
1097620	1100380	Inne i huset som hun lagde kveldsmaten til oss.
1100500	1100960	Ja, jeg skjønner.
1101400	1101460	Ja.
1101500	1102460	Det gjorde hun alltid.
1102760	1102860	Ja.
1103860	1109380	Og det er også en ting, ikke sant, med disse herre settlerfamiliene hvordan de behandlet folka sine.
1109660	1109780	Mhm.
1110620	1116740	Det at hun lagde mat til oss om kvelden, det var det ikke alle i Lises omgangskred som gjorde det.
1116760	1117640	Nei, det kan jeg tenke meg.
1117940	1119640	Men det valgte hun å gjøre det.
1120040	1120040	
1120780	1123380	For da skulle de, de skulle ta seg alt, ikke sant?
1124020	1124040	Mhm.
1125020	1129380	Så, også hadde de en kitchen boy som heter Katschutta. Han var sånn alt mulig.
1129760	1129760	
1130180	1134740	Blant annet han måtte sikkert, det står i de dagbøkene, polish the flaws.
1135300	1135460	Mhm.
1136000	1140620	Altså de ble jo boona da hele tiden, for det var sånn flisbelagte gulv.
1140800	1140900	Mhm.
1141160	1142240	Så det gjorde sikkert han.
1142520	1142600	Mhm.
1144180	1144660	Og så var det...
1144660	1146360	Ja, står det bla bla bla, polish the...
1146360	1146520	Ja.
1147200	1148880	Wash the car, polish the flaws.
1149180	1149300	Mhm.
1149900	1149900	
1151260	1152260	Så det...
1152260	1153500	Så var det da...
1153500	1157760	Så var det hun, Arjan, som passet oss. Hun het Vanjiko.
1158080	1158380	Mhm.
1158380	1158700	Husker du det?
1158900	1159040	Mhm.
1161000	1165080	Og var liksom helt, alt i nærheten, når vi holdt på å leke.
1165680	1167760	Likte de den jobben?
1168040	1171240	Det vet jeg ikke, men de var ikke i kur, alle sammen.
1171320	1171480	Ja.
1171680	1173040	Og kledd opp.
1173360	1173500	Mhm.
1174920	1178900	Og passet på oss da, når vi syklet på trehjulsyklene,
1180760	1186420	så hentet de at safarimaurene, de var jo farlige.
1187520	1188000	Safarimaure.
1188260	1188720	Åja.
1188860	1189940	Det er jo de som...
1189940	1190480	Mauer, ja.
1190740	1193040	Bryter ned en kardaver på to timer.
1193300	1193700	Ja, sånn er det.
1195100	1195580	Skikkelig...
1195580	1201240	Og når de sverma, så laget de en vei, en sånn renne over veien.
1201900	1202380	Mhm.
1202520	1207800	Og da fikk vi streng beskjed at de måtte vi aldri få på oss, for de var jo forferdelige.
1207800	1208220	Ja, ja.
1208580	1210460	Men vi fikk lov å sykle over de.
1210640	1211020	Ja, sånn.
1211020	1211820	Det synes vi var gøy.
1211900	1212420	Ja, jeg skjønner.
1212740	1212820	Ja.
1212960	1213280	Fort.
1213660	1213960	Ja, ja.
1215980	1219300	Men, åh, nå er det bare...
1219300	1221300	noe jeg tenkte på...
1234700	1237660	Hadde dere besøket noen andre?
1238140	1238260	Ja.
1238700	1238700	
1238700	1238780	Ja.
1238780	1239120	Det hadde vi.
1239380	1239420	Ja.
1240500	1244360	Da kan vi kanskje ta litt om hvordan de oppførte seg sosialt da.
1244580	1244700	Ja.
1245240	1246380	Og det var jo...
1246380	1247320	Bestmål og bestvei.
1247500	1247640	Ja.
1247840	1249840	De hadde jo da...
1251300	1251740	Selvfølgelig...
1251740	1254140	De hadde da en klubb i Trika.
1254420	1254580	Mhm.
1255980	1266300	Som jeg ikke husker...
1266300	1267860	alle disse settlene.
1268080	1269520	Og det var jo fra...
1270160	1271580	Det er europære.
1271980	1272060	Mhm.
1272660	1274280	Jeg husker en dansk familie.
1274520	1274660	Ja.
1274800	1275500	Veldig godt.
1275920	1277060	Som de hadde mye med.
1277300	1278300	Men det var stort sett engelskmenn.
1279140	1279280	Mhm.
1279560	1283840	Sikkert flere nasjonaliteter enn det jeg vet om.
1283920	1285420	Men jeg husker den dansk familien.
1287060	1287100	Mhm.
1287100	1287260	Mhm.
1289040	1289480	Det...
1289480	1291820	Men den klubben, det var en samlingspunkt.
1292420	1295120	Og der gjorde jeg avtaler selvfølgelig med å møtes og...
1295120	1296800	For det står også i...
1297480	1301060	I de bøkene at hun hadde koffie med Filipe.
1301540	1301800	Ja.
1301880	1303700	Koffie med Jerdis.
1303900	1304160	I dag.
1304240	1305480	Så Mary Penfold.
1306300	1306380	Ja.
1306760	1307740	Altså sånn.
1308040	1308160	Mhm.
1308280	1309520	Og de var på besøk.
1309640	1310620	Og mye lønnsing.
1310900	1311060	Mhm.
1311140	1312000	Mye lønnsing.
1312880	1313300	Ja.
1313420	1314020	For hun jobbet.
1314140	1315120	Hun var bare housewife.
1315540	1315840	Ja.
1315840	1315980	Ja.
1316100	1316320	Ja.
1317880	1319840	Men hun sydde jo masse.
1320140	1320280	Mhm.
1321800	1322340	Så...
1322340	1324340	Så det...
1325900	1327780	Renommere rundt det huset, tror jeg.
1331400	1331940	Nei.
1332160	1333320	Det jeg tenker på er...
1335140	1338240	Som vi bare må finne ut av, hva det heter nå.
1339960	1340500	Liksom.
1341000	1342980	Fordi det fant hun jo gøy ut av.
1343340	1345040	Ja, det ble jo drevet...
1345040	1347100	Det var jo Dole som hadde...
1347100	1348100	Det var jo gjort om...
1348560	1350380	Omveien til Pineapple.
1350660	1351700	Pineapple, men det var...
1351700	1353080	Tror det var kaffe der også.
1353200	1353520	Ja vel.
1353820	1354520	Nei, det vet jeg ikke.
1355000	1355240	Men det...
1355240	1357040	Så det bare lurer på om Gry...
1359000	1360440	Hvem av oss som liksom...
1360440	1361760	Vi har jo bilde og sånn.
1361920	1362040	Ja.
1362300	1365900	Men det bare om det er en av oss som har skrevet ned om Gry har noe album eller noe.
1365900	1366860	Å høre med henne opp.
1367140	1367220	Ja.
1367480	1369040	Fordi at det var jo en jobb.
1369180	1373120	Så jeg bare håper at vi har vært lure nok til å skrive ned.
1373360	1375760	For det var litt jobb å finne ut av hva den heter i dag.
1376160	1376160	
1376320	1376320	
1376600	1377420	For det er jo...
1377420	1377700	For det er jo...
1377700	1380200	Man kan jo finne ut av...
1380800	1382980	En del om historien til stedet.
1383600	1384600	Online, liksom.
1385080	1385100	Mhm.
1385420	1386580	Så det finnes jo...
1386580	1389160	Vi vet jo hva den heter i dag.
1389900	1392160	Men jeg mener det var kaffe der.
1392880	1394240	Men jeg er ikke helt sikker.
1395120	1395520	Mhm.
1396000	1397560	Men det var i hvert fall pineapple der.
1397760	1397760	
1398480	1400320	Men tilbake til selve huset.
1400520	1400660	Mhm.
1402300	1403020	Så jeg har tatt for meg,
1403120	1404640	Chicago Cajulta, alle de der.
1405000	1405000	
1405760	1406780	Vi hadde høns.
1407100	1407300	Ja.
1407500	1408500	Innenfor området.
1408760	1408900	Mhm.
1409400	1410300	Som vi spiste.
1410580	1411280	Er det...
1411280	1411640	Jeg bare...
1411640	1412460	Hvorfor det er noe å komme på?
1412480	1414860	På de filmene er det noen av de...
1414860	1417560	Ser man en del av de ansatte der?
1417560	1420300	Ja, i hvert fall en av de som klipper gress tror jeg.
1420500	1420500	
1420500	1422340	Og trodde Cajulta han hadde grønt for.
1422620	1422920	Ja, jeg skjønner.
1423160	1423220	Ja.
1423760	1425180	Også har du...
1425180	1428060	Men det var i hvert fall høns på området.
1428480	1428600	Mhm.
1430320	1430760	Og...
1431480	1432540	Som vi spiste.
1432980	1433140	Mhm.
1433480	1435860	Og vi fikk lov å se på når de hogghaua de.
1436160	1436300	Mhm.
1436920	1439500	Det var liksom noe min far mente at det kunne vi bare se på.
